;sentence;class
2176;Assinado durante a 26º edição da Agrishow , o acordo prevê que a companhia forneça dados que auxiliem na tomada de decisão dos usuários do Agrobot , plataforma de consultoria virtual do BB , que combina a expertise do banco com fontes externas para oferecer insights de negócio relevantes , de forma contextualizada , fácil e conveniente . , BB , Agrishow;0
180;A idéia foi lançada pelo ministro Roberto Amaral Ciência e Tecnologia e detalhada ontem durante a abertura do 1º Congresso Internacional de Biodiesel, realizado em Ribeirão Preto e promovido pela Universidade de São Paulo da cidade. , 1º Congresso Internacional de Biodiesel , Roberto Amaral Ciência e Tecnologia;0
868;Fernando Pavani , CEO da BeeCâmbio e da Remessa Online , achava que isso não fazia sentido . , BeeCâmbio , Remessa Online;0
1777;Banco do Brasil , Caixa , Olé , Pan e BMG já são instituições credenciadas para operar em parceria . , Caixa , Olé;0
1669;Trata-se de uma evolução da proposta da Rede AgroServices para duas novas iniciativas  o Impulso Bayer , o novo programa de relacionamento com o produtor , e a Orbia , a plataforma que surgiu de uma joint venture em parceria com a Bravium , que combina marketplace de fidelidade , commodities e insumos . , Bravium , Rede AgroServices;0
984;Ministro da Defesa Nacional visita Forças Nacionais Destacadas no Afeganistão  , Afeganistão , Ministro da Defesa;0
1452;Para 72 %, o crime está relacionado ao assassinato de Luis Donaldo Colosio, candidato presidencial do PRI, em 23 de março. , PRI , Luis Donaldo Colosio;1
2522;A Microsoft anunciou uma série de novidades para o Microsoft Teams que inclui a adição de um esperado novo modelo de visualização em sua plataforma de vídeo chamadas. , Microsoft Teams , Microsoft;1
12;A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado. , Leal Senado , Fernando Gomes;0
1860;O Banco do Brasil avança na estratégia de Open Banking e lança a primeira API (Interface de Programação de Aplicativos) de crédito do Brasil . , Banco do Brasil , Open Banking;1
860;EUA mantém em segredo Armas Não-LETAIS . , Armas Não-LETAIS , EUA;1
1392;O Santander recebeu autorização do Banco Central para colocar na rua a Pi , a sua plataforma digital de investimentos . , Santander , Pi;1
93;A crise já tinha sido solucionada, após uma reunião na casa do procurador geral Aristides Junqueira, que juntou as principais lideranças do Congresso, membros do Supremo Tribunal Federal e FHC. , Supremo Tribunal Federal , Congresso;0
2563;A União Europeia está ponderando se deve forçar a Apple a abrir sua funcionalidade NFC em dispositivos iOS para rivais de provedores de pagamento. , União Europeia , Apple;1
2388;Banco CBSS , instituição que faz parte do Grupo Elopar , parceria entre Bradesco e Banco do Brasil , acaba de passar por processo de reposicionamento da marca , passa a ser conhecido agora como digio sim . , Bradesco , Banco CBSS;0
1125;O Bradesco oferece conexão 3G gratuita para MEI . , MEI , Bradesco;1
457;Ainda ontem, o prefeito de Ribeirão, Gilberto Maggioni do PMN, assinou uma carta de intenção com a USP para colocar parte da frota da administração municipal movida a biodiesel, já a partir de junho. , PMN , Ribeirão;0
3071;A portaria com a mudança é assinada pelo secretário especial de Produtividade, Emprego e Competitividade, Carlos da Costa. , Carlos da Costa , Produtividade, Emprego e Competitividade;1
1517;Realizada no Teatro do Sesi, local ao lado do espaço do fisl, a noite começou com os gaúchos da Bataclã FC, que entraram no palco com uniformes do Departamento Municipal de Limpeza Urbana de Porto Alegre e abriram o show com o clássico Amigo Punk. , Amigo Punk , Teatro do Sesi;0
157;A Firgun trabalha em parceria com organizações não-governamentais que atuam na periferia , como a Afrobusiness e a Barca , que atendeu Maria Pimentel , da Parça Progresso Confecções , do Jardim Ângela , zona sul de São Paulo , Firgun , Maria Pimentel;0
957;Mas isso não é verdade, argumenta Mark Wheelis da Universidade da California, Davis. , Mark Wheelis , Universidade da California;1
2523;A Natura passa a disponibilizar uma ferramenta de comércio por voz em parceria com o Google Assistente. , Google Assistente , Natura;1
802;No futuro, quando a produção de tecido hepático se tornar uma realidade, o número de transplantes poderá ser minimizado', disse à Folha por e-mail Joe Jackson, um dos autores do estudo que sai hoje na revista 'Nature'. , Folha , Nature;0
1389;O Santander , portanto , fechou uma parceria com a Wyden , instituição de ensino superior que faz parte dos maiores grupos educacionais do mundo , a Adtalem Global Education . , Santander , Adtalem Global Education;0
3037;O CEO da Ozone, Chris Michael declarou em comunicado à imprensa que a iniciativa ajudará bancos e fintechs a começarem a criar serviços de open banking antes dos prazos exigidos. , Ozone , Chris Michael;1
1608;Segundo o Banco Central , existem mais de 20 competidores nesse mercado que até 2010 era centrado apenas em Cielo , do Banco do Brasil  , e Rede , do Itaú Unibanco . , Rede , Cielo;0
2736;A Elopar, joint venture formada por Bradesco e BB, que detêm 50,01% e 49,99% de participação, respectivamente, controla a bandeira Elo, com 56,969% de participação. , Bradesco , BB;0
2145;A Quod , fintech de gerenciamento e análise de dados , criada pelos cinco maiores bancos do país , é o mais novo membro da Associação Nacional dos Bureaus de Crédito . , Quod , Associação Nacional dos Bureaus de Crédito;1
2968;É o que mostra um levantamento feito pelo aplicativo de educação financeira para jovens Blu by BS2, do Banco BS2. , Banco BS2 , Blu by BS2;1
592;Cansados de terem que contar com a boa vontade dos dirigentes de grandes clubes com o novo esporte, em 1981 os principais jogadores de Niterói, até então jogando no Flamengo, juntaram-se ao clube no qual muitos de eles praticavam também o rugby, formando então, a equipe de handebol do Niterói Rugby. , Niterói Rugby , Flamengo;0
3055;O estudo revela que devido aos programas de benefícios sociais criados para minimizar os impactos da Covid-19, a população não bancarizada em toda a América Latina teria sido América Latina e Caribe , Covid-19 , Caribe;0
406;A Tencent , uma das empresas mais valiosas da Ásia , anunciou no ano passado que aumentaria os investimentos em várias áreas-chave , incluindo pagamento digital , onde seu serviço se une ao rival Alipay , apoiado pelo Alibaba Group Holding Ltd , Tencent , Ásia;1
785;Em maio , o Instituto Sicoob irá realizar , em parceria com a Associação Brasileira de Planejadores Financeiros , uma ação gratuita de orientação financeira , aberta ao público , alinhada à 5ª Semana Nacional de Educação Financeira do Banco Central . , Associação Brasileira de Planejadores Financeiros , Semana Nacional de Educação Financeira;0
760;Ela me contou dos seus trabalhos, entre eles fotos para DKNY e campanha mundial de Ralfh Lauren. , Ralfh Lauren , DKNY;0
1868;O Mercado Pago , fintech do grupo Mercado Livre , firma parceria inédita com a Hub Fintech , líder em tecnologia e soluções de negócios em meios de pagamento no Brasil , que permite que um cartão bandeirado MasterCard acesse , em tempo real , o saldo de sua conta virtual no Mercado Pago para realizar compras em terminais e saques em redes conveniadas . , Hub Fintech , Mercado Livre;0
2228;A Embrapa Café e o Consórcio Pesquisa Café , em parceria com a Universidade Federal de Lavras e a Universidade Federal de Viçosa , selecionaram 26 startups para participarem da etapa piloto do projeto para a pré-aceleração de startups Avança Café . , Avança Café , Universidade Federal de Viçosa;0
607;Apresentada na Bienal de Veneza em 2003, a obra 'Guaraná Power', do coletivo dinamarquês Superflex, foi selecionada pela curadoria da 27ª Bienal de São Paulo mas teve sua exibição vetada pela Fundação realizadora da mostra. , Bienal de Veneza , Fundação;0
275;A opinião é do agrônomo Miguel Guerra, da Universidade Federal de Santa Catarina. , Universidade Federal de Santa Catarina , Miguel Guerra;1
2196;Uma joint venture fintech entre o China CITIC Bank e o motor de busca Baidu busca captar até 7 bilhões de iuanes (US $ 1 bilhão) em uma rodada de financiamento privado , segundo pessoas com conhecimento do assunto . , Baidu , China CITIC Bank;1
1350;O Observatório de Coimbra tem um grande acervo de imagens do Sol, que registram diariamente desde os anos vinte do século passado, e estão a digitalizar essas imagens para que possam estar à disposição das escolas , explica Rosa Doran . , Sol , Observatório de Coimbra;1
3172;O Pronampe empresta recursos dos próprios bancos com garantia do Fundo Garantidor de Operações, fundo público que recebe aportes do Tesouro Nacional. , Fundo Garantidor de Operações , Tesouro Nacional;1
1126;O C6 Bank é o banco digital de Marcelo Kalim , Carlos Fonseca e Leandro Torres , todos egressos do BTG Pactual . , Marcelo Kalim , BTG Pactual;1
625;Com a plataforma ativa , 2019 será um ano de crescimento  ‘Temos convicção que 2019 será um ano de expressiva expansão’ , afirma João Nogueira , CEO da Appólice . , Appólice , João Nogueira;1
539;B3 abre as portas hoje de um ambiente próprio no Cubo , centro de co-inovação do Itaú Unibanco em parceria com a Redpoint eventures . , Cubo , Redpoint;0
2597;Por isso, nosso primeiro case de open banking PJ foi construído com a Contabilizei, startup de contabilidade 100% online, e está bem alinhada com o Banco BS2 no sentido de dar ao empresário o bem mais valioso que ele precisa para o sucesso do seu empreendimento, o tempo , explica Breno Guelman, head do BS2 Empresas. , Banco BS2 , Contabilizei;1
2990;O Starling Bank vai lançar seu cartão de débito Kite, que pode ser usado por crianças com menos de 16 anos para gastar online, na loja e sacar dinheiro em caixas eletrônicos. , Kite , Starling Bank;1
871;Fernando Rodríguez González, assessor do deputado Manuel Muoz Rocha, do PRI, teria hospedado o assassino na capital enquanto o crime era preparado. , Manuel Muoz Rocha , Fernando Rodríguez González;1
1075;O achado foi apresentado por Mark Mattson, do Instituto Nacional do Envelhecimentos dos EUA, durante a 170ª Reunião Anual da Associação Americana para o Avanço da Ciência, em Seattle, no noroeste dos Estados Unidos. , Estados Unidos , Seattle;1
2786;De casa de trading a maior banco de investimentos da América Latina, o BTG Pactual vai entrar na terceira fase de sua história, assim que começar a oferecer conta corrente e cartões de crédito e de débito na plataforma digital de varejo BTG Mais. , BTG Mais , América Latina;0
3124;Os fundadores da Antecipa, Camilo Telles e Michel Borges, terão 100% de independência na gestão do negócio, contando com a estrutura, a solidez e, principalmente, o acesso à base de clientes da XP Inc. , Antecipa , Camilo Telles;1
11;A abertura do evento contou com a presença de Fernando Gomes, presidente da Câmara Municipal do Porto, e do vereador Wan Chun, em representação de Sales Marques, presidente do Leal Senado. , Leal Senado , Câmara Municipal do Porto;0
1825;Aprendemos que , quando criamos para a Índia , criamos para o mundo , disse Caesar Sengupta , vice-presidente da iniciativa do Google Next Billion Users e do Payments , no evento Google for India  em Nova Déli , na terça-feira . , Google Next Billion Users , Índia;0
1237;O Facebook irá viajar pelo Brasil para oferecer cursos gratuitos de suas plataformas Facebook , Instagram , Messenger e WhatsApp Business  para empreendedores . , Messenger , Instagram;0
2209;Poderão usar a agência clientes de bancos como Banrisul , Banco do Nordeste do Brasil e BMG , e também dos digitais Banco Inter e Agibank . , Banco do Nordeste do Brasil , BMG;0
1478;Paulo Deitos e Guilherme Enck , fundadores da Cap table . , Guilherme Enck , Cap table;1
1797;O usuário consegue comparar prazos , condições , juros dessa modalidade de crédito de diversos bancos , como Bradesco , Banco do Brasil , Itaú , Safra , e faz a contratação ali mesmo , de acordo com a sua necessidade . , Safra , Banco do Brasil;0
1248;O FintechLab , o Torq e a Confederação Brasileira das Cooperativas de Crédito Confebras , acabam de anunciar a lista das startups financeiras que irão apresentar suas soluções para o público presente na 12ª edição do CONCRED , o maior congresso cooperativista da América Latina . , América Latina , CONCRED;1
449;Agtech mais valiosa da atualidade, a Indigo Ag lançou hoje o Terraton Chllenge, um desafio para startups. , Terraton Chllenge , Indigo Ag;1
1981;A plataforma que estreou com apenas cinco parceiros , hoje conta com o apoio de 27 instituições como Banco Original , Trigg , Creditas , Rebel , Simplic , Santana Financeira , entre outras . , Banco Original , Simplic;0
2929;O Rappi anunciou o lançamento de uma plataforma de bem estar em parceria com a Mude, plataforma de wellness media, dentro de seu superapp. , Rappi , Mude;1
1641;A SumUp , fintech da Alemanha com soluções para pagamentos , levantou € 330 milhões cerc a de R$ 1, 5 bilhão  em uma rodada de investimentos . , SumUp , Alemanha;1
2297;Em parceria com a IBM Research , a instituição lançou o Mandarin Project , oferecendo aos alunos aulas de mandarim em um ambiente virtual 360º , com uma imersão pelas ruas , restaurantes e mercados de Pequim . , IBM Research , Pequim;0
35;A Apple deve lançar seu próprio cartão de crédito em parceria com o banco Goldman Sachs , aponta uma reportagem do The Wall Street Journal . , banco Goldman Sachs , The Wall Street Journal;0
2039;Um exemplo disso é a parceria com o Caminhão Serasa Itinerante , que levará para 40 cidades brasileiras serviços como : consulta do CPF , conhecer e entender a pontuação de crédito com o Serasa Score , simular e/ou contratar empréstimos no comparador de crédito online Serasa eCred e acesso a renegociações de dívidas atrasadas e/ou negativadas com empresas parceiras do Serasa Limpa Nome Online . , Caminhão Serasa Itinerante , Serasa Limpa Nome Online;0
206;A iniciativa , desenvolvida pelo MetrôRio e pela Visa , conta ainda com a parceria do Banco do Brasil , Bradesco e Cielo e proporcionará mais agilidade aos clientes de qualquer emissor que possuem dispositivos por aproximação . , Cielo , Visa;0
2737;A Oracle apresentou o programa Seniores Digitais e irá disponibilizar um curso de 500 horas de duração para capacitar profissionais acima de 50 anos. , Oracle , Seniores Digitais;1
756;É urgente que aquela comissão averigúe por que razão os Estados Membros estão a ignorar as leis da UE em matéria de segurança marítima e não se trata apenas da Grécia. , Grécia , UE;0
2802;Depois de um ano de tratativas, o Banco do Brasil e o banco suíço UBS formalizaram hoje a parceria para iniciarem um banco de investimentos e uma corretora de valores que operará no Brasil e em mais cinco países latino-americanos: Argentina, Chile, Paraguai, Peru e Uruguai. , Argentina , Peru;0
840;Esses corpos medidos em metros são interessantes cientificamente, mas não oferecem absolutamente nenhum perigo a os humanos , diz Robert Jedicke, da Universidade do Arizona, escolhido pela 'Nature' para comentar o estudo. , Robert Jedicke , Nature;1
662;Como parte de uma aliança bancária internacional , o Banco Leumi de Israel TASE  LUMI , o CIBC e o Banco Nacional da Austrália ASX  NAB  lançaram hoje o Global Alliance Fintech Link , um portal on-line global , criado para auxiliar a impulsionar a inovação centrada no cliente , facilitando a colaboração entre os bancos e as empresas de tecnologia financeira a s fintechs . , CIBC , Banco Leumi de Israel;0
1504;Quando tomou posse , o novo presidente da Caixa , Pedro Guimarães , afirmou que o objetivo era atingir 30 milhões de clientes no microcrédito e que a nova empresa seria criada em parceria com o BNB e o Banco do Brasil . , Pedro Guimarães , Banco do Brasil;0
3167;No Sicoob e no Sicredi as taxas de sucesso foram, respectivamente, de 26% e 25%, no Itaú ficou em 10% e na Caixa em apenas 6%. , Itaú , Sicredi;0
1438;Os censores de Zé Gregori elaboram um ofício advertindo a Rede Record por causa da exibição do filme Fogo contra Fogo em horário impróprio no último domingo . , Zé Gregori , Record;1
3260;Nos últimos meses, o Next incorporou produtos da Bradesco Seguros e da corretora Ágora em seu aplicativo. , Ágora , Next;0
1670;O Museu da Lourinhã é conhecido pelos seus ovos e embriões de dinossauro, os únicos da Europa e dos mais antigos do Mundo. , Europa , Mundo;0
1573;Se eles olhassem como ficou a lata , não haveria problema legal ', afirmou Jakob Fenger, um dos membros do Coletivo, em entrevista para a Folha de São Paulo, em matéria que informa ainda' Por meio de sua assessoria, a AmBev, fabricante do guaraná Antarctica . , Coletivo , Folha de São Paulo;0
495;Apesar do veto, o Guaraná Power, feito em colaboração com a Cooperativa de Agricultores da Região de Maués, na Amazônia, chegou a ser distribuído em museus e na própria Vermelho, durante a Bienal. , Guaraná Power , Vermelho;1
433;A Via Varejo entrou na onda dos meios de pagamento alternativos e lançou nesta quarta-feira o banco digital banQi , desenvolvido em parceria com a startup americana Airfox . , banQi , Via Varejo;1
2453;A possibilidade de realizar o IPO havia sido levantada em julho pelo presidente da Caixa, Pedro Guimarães, em entrevista ao Valor. , Pedro Guimarães , Caixa;1
3193;Santander e Bradesco não participaram da primeira fase do Pronampe. , Bradesco , Pronampe;1
705;Desenvolvido pelo Instituto Sicoob em parceria com o Sescoop/PR , neste ano o Programa Cooperjovem chegou a mais um município da área de atuação do Sicoob Metropolitano . , Sescoop/PR , Instituto Sicoob;1
1146;O Conselho Administrativo de Defesa Econômica pode impor restrições à compra de parte da Ticket Serviços pelo Itaú , anunciada em setembro . , Conselho Administrativo de Defesa Econômica , Itaú;0
2270;Amazon e Alibaba se preparam para possivél privatização dos Correios , Alibaba , Amazon;0
3139;Outra opção é a linha de crédito Faça Acontecer, do Sicoob-ES, que tem convênio com a Católica de Vitória Centro Universitário, Faesa, Fucape e Universidade Vila Velha, por exemplo. , Fucape , Universidade Vila Velha;0
2741;A PicPay é um originador de negócios para o Original, mas a gente não fica forçando o cliente a mudar de um para o outro, completa Raul Moreira, diretor de TI. , Original , PicPay;1
2256;Participaram cerca de 50 pessoas , incluindo integrantes do Sicoob Central SC/RS e do Banco Cooperativo do Brasil . , Banco Cooperativo do Brasil , Sicoob Central SC;0
2405;Para utilizar o serviço desenvolvido pela operadora o usuário deverá ser cliente da TIM, além de possuir uma conta no banco digital C6 Bank. , TIM , C6 Bank;0
2759;Até o momento, a Caixa contratou cerca de R$ 1,8 bilhão na nova fase do Pronampe. , Pronampe , Caixa;1
197;A iniciativa , da Money Cloud junto ao Instituto Banco da Periferia , começa com um piloto em Maricá , onde milhares de clientes já contam com serviços completos de conta digital , além de pagamentos nos pontos comerciais credenciados . , Maricá , Instituto Banco da Periferia;0
2120;Para Guimarães , as maiores empresas do país não precisam de recursos da Caixa , uma instituição que , segundo ele , tem primordialmente uma função social . , Caixa , Guimarães;0
3038;O desembolso feito pelo maior banco privado do País ocorre após alguns problemas técnicos, que obrigaram a operação a ser suspensa para ajustes na conexão com o Banco do Brasil , administrador da linha. , País , Banco do Brasil;0
3004;O X Lab, da Alphabet, holding que controla o Google, criou um robô agricultor Plant Buggy, que coleta dados de plantações nos Estados Unidos. , Google , Estados Unidos;0
3202;Serão serviços opcionais para os usuários, mas vamos garantir a facilitação da transação, aumentando a confiança e segurança da plataforma, diz Andries Oudshoorn, presidente executivo da OLX Brasil, em entrevista exclusiva ao Estadão. , Estadão , OLX Brasil;0
1563;Se a lógica ainda prevalecer no país em frangalhos, parece evidente que os maiores interessados em sua morte são justamente o Talibã e a al-Qaeda. , Talibã , al-Qaeda;0
2746;A Superdigital permitiu ao Santander iniciar uma forma inovadora de ampliar a bancarização da população brasileira, que agora será alavancada pela plataforma digital global do Grupo Santander e expandida para outros países em que o Grupo Santander opera, permitindo a conquista de novos clientes”, diz o banco. , Santander , Superdigital;1
801;Em nota , a empresa brasileira diz que o documento foi assinado por Renato Costa , presidente da JBS Carnes Brasil , e Richard Wang , executivo da Win Chain , subsidiária do Alibaba Group , dedicada à indústria de alimentos frescos e que coordena a cadeia de suprimentos da companhia . , JBS Carnes Brasil , Win Chain;0
2903;O Banco do Brasil lançou nesta semana nova linha de crédito para trabalhadores que aderiram à modalidade de saque aniversário do Fundo de Garantia por Tempo de Serviço. , Fundo de Garantia por Tempo de Serviço , Banco do Brasil;0
2894;O Banco BMG incluiu em seu portfólio uma nova opção de crédito em parceria com a plataforma online de empréstimos com garantias Creditas. , Creditas , Banco BMG;1
566;Bcredi , que oferece Crédito com Garantia de Imóvel de forma rápida e descomplicada , acaba de fechar uma parceria com a Juno , empresa de solução de emissão e cobrança de pagamentos . , Bcredi , Juno;1
438;Aceleradora Plug and Play prepara expansão no Brasil. , Brasil , Aceleradora Plug and;0
328;A rede da Anova conecta , alem da Chicago Market Exchange , as bolsas BATS , Nasdaq , de Nova York e Cboe Markets . , Nasdaq , Cboe Markets;0
1732;Mais do que uma agência criamos um centro de referência e inovação aos empreendedores , que vai além dos serviços bancários e que está em linha com o que visualizamos para o futuro das agências físicas no País , ressalta Ede Viani , diretor de empresas , governos & instituições e agronegócios do Santander , Ede Viani , Santander;1
1548;Pelo menos a ocupação sinistra de Bush no Iraque serviu para mobilizar os glóbulos vermelhos de muita gente. , Iraque , Bush;1
1612;Segundo pesquisa da Endeavor organização de apoio ao empreendedorismo e empreendedores , que atua em todo o Brasil , a cidade de São José dos Campos é a mais inovadora do país . , Brasil , São José dos Campos;1
2237;A Visa Inc . e a Rappi apresentaram no México o inovador e atraente cartão RappiPay Visa , que os consumidores mexicanos podem solicitar , de forma simples , em minutos e diretamente da plataforma digital Rappi que já usam , na qual confiam e com a qual já estão familiarizados . , Rappi , RappiPay Visa;1
2500;A Getnet, empresa de pagamentos do grupo Santander, acaba de lançar um serviço para estabelecimentos físicos que faz, no momento da compra do produto ou serviço, a divisão do valor para mais de um recebedor. , Getnet , Santander;1
1361;A expansão internacional da MinTech passa por negócios na Ásia Indonésia , Filipinas , Vietnam e Índia  e , mais recentemente , na América Latina , começando pelo Brasil . , Brasil , América Latina;1
2604;O próprio BC deve estrear o PIX, sistema aberto de pagamentos instantâneos, que em tese pode operar integrado ao WhatsApp. , BC , PIX;1
2381;A Securitize é um acréscimo lógico ao nosso portifólio que melhor posiciona o Santander a participar do mercado emergente de títulos digitais , comentou Manuel Silva Martínez , sócio e líder de investimentos da Santander InnoVentures . , Manuel Silva Martínez , Santander InnoVentures;1
205;A iniciativa , desenvolvida pelo MetrôRio e pela Visa , conta ainda com a parceria do Banco do Brasil , Bradesco e Cielo e proporcionará mais agilidade aos clientes de qualquer emissor que possuem dispositivos por aproximação . , Cielo , MetrôRio;0
517;As iniciativas estão sendo feitas em parceria com corretores de seguros , startups , insurtechs e organizações de diferentes setores , diz Laercio Cerboncini , responsável pela área digital da Chubb no Brasil . , Chubb , Laercio Cerboncini;1
1260;O governo da Rússia vai apoiar uma ação da Otan contra as posições sérvias ao redor de Sarajevo 'como último recurso, para defender as tropas da ONU', disse ontem o chanceler Andrei Kozirev. , Otan , Rússia;1
372;A sorte dos cientistas liderados por Jillian Banfield, da Universidade da Califórnia em Berkeley, foi que a amostra de efluentes ácidos analisada tinha um pequeno número de organismos. , Berkeley , Jillian Banfield;0
745;E os beneficiados desse casamento seremos todos nós , principalmente o consumidor , escreve Francisco Jardim , da SP Ventures . , Francisco Jardim , SP Ventures;1
349;A rodada foi liderada pela Kaszek Ventures , investidora do Nubank , e Ribbit Capital , que investiu no Guiabolso . , Ribbit Capital , Guiabolso;1
282;A parceria com a Autopass reforça nosso objetivo de proporcionar ao portador a modernidade e a flexibilidade que estão no DNA da Elo , explica Eduardo Chedid , presidente da Elo . , Autopass , Eduardo Chedid;0
2572;A Worldpay está lançando um novo Open Banking Hub para os comerciantes, permitindo que os usuários paguem compras diretamente de sua conta bancária, contornando a necessidade de inserir informações de cartão ou conta em um site de terceiros. , Open Banking Hub , Worldpay;1
1902;Seguindo um movimento nacional do Banco do Brasil , a agência de Campo Mourão abre no dia 29 deste mês e prossegue até o dia 4 de novembro , a campanha MPE Week , destinada a MPEs . , Banco do Brasil , MPEs;0
831;Essa modalidade , segundo levantamento feito pelo Sebrae até a segunda quinzena de agosto , já realizou 23 operações em Mato Grosso do Sul , com taxa de juros que varia de 3,5 % a 6,5% . , Mato Grosso do Sul , Sebrae;0
2128;O executivo Cristian Mairesse Cavalheiro , que era vice-presidente de tecnologia , se desligou da Getnet na sexta , para se dedicar 100% à internacionalização , a partir de uma base em Porto Alegre , no Rio Grande do Sul . , Porto Alegre , Rio Grande do Sul;1
127;A estimativa foi apresentada por John Schellnhuber, do Centro Tyndall em Norwich, em uma conferência sobre os efeitos da mudança climática durante a reunião da AAAS. , John Schellnhuber , Norwich;0
